"","State","Facility","Scrape Date","Inmates Positive","Inmates Negative","Inmates Pending","Inmates Tested","Inmates Recovered","Inmates Deaths"
"1","Ohio","MCI","2020-05-02","1999","","131","","106",""
"2","Ohio","PCI","2020-05-02","1456","","426","","86",""
"3","Tennessee","Trousdale Turner Correctional Center","2020-05-02","1037","762","446","2246","",""
"4","Federal","TRM","2020-05-02","620","","","","1","5"
"5","Tennessee","Bledsoe County Correctional Complex","2020-05-02","585","1731","3","2319","",""
"6","North Carolina","Neuse CI","2020-05-02","467","234","","701","",""
"7","Federal","FTW","2020-05-02","446","","","","3","3"
"8","Kansas","Lansing","2020-05-02","250","","","","51","2"
"9","Federal","BUT","2020-05-02","210","","","","45","6"
"10","Virginia","Dillwyn Correctional Center","2020-05-02","204","","","","","0"
"11","Louisiana","Louisiana Correctional Institute for Women","2020-05-02","189","","","","0","1"
"12","Ohio","FMC","2020-05-02","137","","129","","60",""
"13","Texas","Beto","2020-05-02","130","41","23","","",""
"14","Florida","Tomoka CI","2020-05-02","128","83","2","","",""
"15","Illinois","Stateville","2020-05-02","121","","","","119",""
"16","Virginia","Haynesville Correctional Center","2020-05-02","109","","","","","0"
"17","Federal","CCC","2020-05-02","97","","","","26","0"
"18","Florida","Sumter CI","2020-05-02","92","52","0","","",""
"19","New York","FISHKILL","2020-05-02","90","10","4","","35","3"
"20","North Carolina","NC CI Women","2020-05-02","90","115","","205","",""
"21","Virginia","Deerfield Correctional Center (includes Deerfield Work Centers)","2020-05-02","77","","","","","1"
"22","Texas","Murray","2020-05-02","72","18","7","","",""
"23","Federal","FOR","2020-05-02","66","","","","47","0"
"24","Federal","ELK","2020-05-02","65","","","","20","7"
"25","Louisiana","Louisiana State Penitentiary","2020-05-02","61","","","","0","3"
"26","Virginia","Central Virginia Correctional Unit #13","2020-05-02","57","","","","","0"
"27","Delaware","James T. Vaughn Correctional Center","2020-05-02","56","","","","",""
"28","Florida","Liberty CI","2020-05-02","56","22","0","","",""
"29","Texas","Ellis","2020-05-02","56","15","9","","",""
"30","Federal","LOM","2020-05-02","53","","","","59","1"
"31","Texas","Wynne","2020-05-02","52","16","4","","",""
"32","Ohio","BECI","2020-05-02","51","","15","","3",""
"33","Texas","Jester 1","2020-05-02","51","1","1","","",""
"34","New York","SING SING","2020-05-02","50","9","1","","38","4"
"35","Florida","Blackwater CFOperated by
                   The GEO Group Inc.*","2020-05-02","48","14","1","","",""
"36","Texas","Hospital Galveston","2020-05-02","48","16","5","","",""
"37","Texas","Local Hospital","2020-05-02","48","28","6","","",""
"38","Federal","YAZ","2020-05-02","47","","","","44","0"
"39","Federal","OAK","2020-05-02","46","","","","58","7"
"40","New York","OTISVILLE","2020-05-02","46","11","5","","14","1"
"41","Texas","Estelle","2020-05-02","46","56","6","","",""
"42","Texas","Scott","2020-05-02","46","9","10","","",""
"43","Federal","LOF","2020-05-02","45","","","","1","0"
"44","New Jersey","Northern State Prison","2020-05-02","45","","","","","6"
"45","Tennessee","Northwest Correctional Complex","2020-05-02","44","848","5","898","",""
"46","Virginia","Virginia Correctional Center for Women (includes State Farm Work Center)","2020-05-02","43","","","","","1"
"47","Ohio","CRC","2020-05-02","42","","3","","31",""
"48","Texas","Middleton","2020-05-02","42","4","13","","",""
"49","Federal","FTD","2020-05-02","40","","","","9","0"
"50","New York","BEDFORD HILLS","2020-05-02","38","14","1","","23","1"
"51","Tennessee","Turney Center Industrial Complex","2020-05-02","38","237","0","275","",""
"52","Texas","Michael","2020-05-02","37","13","6","","",""
"53","Texas","Clements","2020-05-02","35","3","12","","",""
"54","Louisiana","B.B. Rayburn Correctional Center","2020-05-02","34","","","","3","0"
"55","New York","GREEN HAVEN","2020-05-02","34","6","2","","15","0"
"56","Texas","LeBlanc","2020-05-02","34","5","2","","",""
"57","Texas","Terrell","2020-05-02","33","10","7","","",""
"58","Federal","LEX","2020-05-02","32","","","","0","0"
"59","Texas","Robertson","2020-05-02","32","5","5","","",""
"60","Arizona","Florence","2020-05-02","30","45","29","75","0",""
"61","Texas","Huntsville","2020-05-02","30","37","3","","",""
"62","Texas","Eastham","2020-05-02","29","6","7","","",""
"63","Pennsylvania","Phoenix","2020-05-02","28","18","","","20","3"
"64","Texas","Telford","2020-05-02","28","8","7","","",""
"65","Federal","BUF","2020-05-02","27","","","","15","0"
"66","Pennsylvania","Huntingdon","2020-05-02","27","5","","","0","0"
"67","New York","GREAT MEADOW","2020-05-02","26","6","6","","4","0"
"68","New York","WENDE","2020-05-02","26","5","2","","20","0"
"69","Virginia","Sussex II State Prison","2020-05-02","26","","","","","1"
"70","Florida","Columbia CI","2020-05-02","25","48","1","","",""
"71","Virginia","Harrisonburg Men’s CCAP","2020-05-02","25","","","","","0"
"72","Texas","Sanchez","2020-05-02","23","5","5","","",""
"73","Federal","OKL","2020-05-02","22","","","","0","1"
"74","Texas","Hutchins","2020-05-02","22","6","4","","",""
"75","New Jersey","New Jersey State Prison","2020-05-02","21","","","","","4"
"76","New Jersey","South Woods State Prison","2020-05-02","20","","","","","1"
"77","South Carolina","Kirkland","2020-05-02","20","","","","",""
"78","Iowa","IMCC","2020-05-02","19","","","260","0",""
"79","North Carolina","Pasquotank CI","2020-05-02","19","30","","49","",""
"80","Oregon","SCCI","2020-05-02","19","15","1","35","",""
